id,transaction_id,date,amount,merchant_name,card_type,transaction_country,risk_score,fraud_outcome,triggering_rule,flagging_severity
36,TXN-100035,2025-07-02 14:00:00,8.96,Etsy Shop,Credit,United States,27,Legitimate,VD-338,Info
37,TXN-100036,2025-07-02 15:00:00,10.59,Amazon,Debit,United Kingdom,42,Legitimate,,
38,TXN-100037,2025-07-02 17:00:00,57.43,Uber,Debit,United Kingdom,30,Legitimate,,
39,TXN-100038,2025-07-02 18:00:00,367.72,Unknown Merchant,Debit,Brazil,84,Confirmed Fraud,IP-519b,Critical
40,TXN-100039,2025-07-02 18:00:00,335.19,Steam Games,Debit,Nigeria,53,Confirmed Fraud,IP-519,Warning
41,TXN-100040,2025-07-02 19:00:00,93.18,Shell Gas,Credit,United States,10,Legitimate,,
42,TXN-100041,2025-07-02 19:00:00,117.14,Walmart,Credit,Brazil,31,Legitimate,,
43,TXN-100042,2025-07-02 20:00:00,11.36,Google Play,Debit,United States,13,Legitimate,,
44,TXN-100043,2025-07-02 21:00:00,58.95,Best Buy,Credit,United States,37,Legitimate,,
45,TXN-100044,2025-07-02 22:00:00,10.95,Shell Gas,Credit,Canada,24,Legitimate,,
46,TXN-100045,2025-07-03 00:00:00,24.90,Unknown Merchant,Debit,Germany,63,Pending Review,VD-338b,Warning
47,TXN-100046,2025-07-03 00:00:00,35.75,Google Play,Credit,United Kingdom,35,Legitimate,BN-102,Warning
48,TXN-100047,2025-07-03 02:00:00,28.43,AirBnB,Credit,United States,36,Legitimate,,
49,TXN-100048,2025-07-03 04:00:00,55.37,Best Buy,Debit,Mexico,6,Legitimate,,
50,TXN-100049,2025-07-03 04:00:00,56.31,Best Buy,Credit,Russia,12,Legitimate,,
51,TXN-100050,2025-07-03 05:00:00,63.93,Spotify,Credit,United States,33,Legitimate,,
52,TXN-100051,2025-07-03 05:00:00,110.51,Uber,Debit,Canada,15,Legitimate,,
53,TXN-100052,2025-07-03 06:00:00,74.82,Target,Debit,Nigeria,70,Legitimate,,
54,TXN-100053,2025-07-03 06:00:00,56.39,Instacart,Prepaid,South Korea,27,Legitimate,,
55,TXN-100054,2025-07-03 06:00:00,27.51,Unknown Merchant,Prepaid,United Kingdom,26,Legitimate,,
56,TXN-100055,2025-07-03 07:00:00,29.53,Booking.com,Credit,Nigeria,26,Legitimate,ML-660,Warning
57,TXN-100056,2025-07-03 07:00:00,47.67,Unknown Merchant,Credit,Nigeria,8,Legitimate,,
58,TXN-100057,2025-07-03 10:00:00,487.38,Google Play,Credit,United States,52,Legitimate,,
59,TXN-100058,2025-07-03 10:00:00,5.90,DoorDash,Credit,Germany,27,Legitimate,,
60,TXN-100059,2025-07-03 10:00:00,20.66,Unknown Merchant,Credit,United States,49,Legitimate,,
61,TXN-100060,2025-07-03 11:00:00,261.24,Uber,Credit,United States,31,Legitimate,,
62,TXN-100061,2025-07-03 12:00:00,65.19,Target,Debit,United States,49,Legitimate,,
63,TXN-100062,2025-07-03 12:00:00,158.68,PayPal Transfer,Credit,Indonesia,14,Legitimate,IP-519,Info
64,TXN-100063,2025-07-03 14:00:00,159.60,Amazon,Debit,India,100,Confirmed Fraud,CA-221b,Critical
65,TXN-100064,2025-07-03 15:00:00,23.79,AirBnB,Credit,United States,70,Confirmed Fraud,VD-338b,Critical
66,TXN-100065,2025-07-03 16:00:00,209.15,Booking.com,Credit,United States,44,Legitimate,CA-221b,Info
67,TXN-100066,2025-07-03 17:00:00,143.05,Unknown Merchant,Prepaid,Germany,25,Legitimate,,
68,TXN-100067,2025-07-03 18:00:00,36.51,Uber,Credit,Russia,25,Legitimate,,
69,TXN-100068,2025-07-03 18:00:00,218.33,DoorDash,Prepaid,Canada,6,Legitimate,,
70,TXN-100069,2025-07-03 18:00:00,69.36,Apple Store,Credit,China,23,Legitimate,,
71,TXN-100070,2025-07-03 19:00:00,59.20,Booking.com,Credit,Russia,15,Legitimate,GE-773,Info
72,TXN-100071,2025-07-03 20:00:00,23.99,Walmart,Debit,China,19,Legitimate,,
73,TXN-100072,2025-07-03 20:00:00,100.77,Booking.com,Debit,United States,34,Legitimate,,
74,TXN-100073,2025-07-03 20:00:00,7.48,Google Play,Debit,United States,6,Legitimate,,
75,TXN-100074,2025-07-03 21:00:00,35.96,Shopify Merchant,Credit,China,41,Legitimate,,
76,TXN-100075,2025-07-03 21:00:00,45.25,Amazon,Credit,United States,38,Legitimate,,
77,TXN-100076,2025-07-04 00:00:00,61.82,Steam Games,Debit,Canada,23,Legitimate,,
78,TXN-100077,2025-07-04 00:00:00,7.45,Stripe Payment,Credit,Nigeria,18,Legitimate,,
79,TXN-100078,2025-07-04 01:00:00,83.44,Booking.com,Debit,India,34,Legitimate,CA-221,Info
80,TXN-100079,2025-07-04 02:00:00,5.53,Best Buy,Credit,United States,51,Legitimate,,
81,TXN-100080,2025-07-04 02:00:00,67.55,Etsy Shop,Debit,United States,16,Legitimate,,
82,TXN-100081,2025-07-04 03:00:00,112.17,Target,Credit,Nigeria,75,Confirmed Fraud,VD-338b,Critical
83,TXN-100082,2025-07-04 04:00:00,141.79,Uber,Prepaid,United States,17,Legitimate,,
84,TXN-100083,2025-07-04 04:00:00,21.79,Amazon,Debit,Canada,21,Legitimate,,
85,TXN-100084,2025-07-04 04:00:00,33.04,Apple Store,Credit,Australia,24,Legitimate,,
86,TXN-100085,2025-07-04 04:00:00,437.42,Booking.com,Credit,Germany,59,Confirmed Fraud,IP-519b,Warning
87,TXN-100086,2025-07-04 05:00:00,40.09,Instacart,Debit,Mexico,31,Legitimate,,
88,TXN-100087,2025-07-04 06:00:00,47.93,Walmart,Credit,United States,39,Legitimate,,
89,TXN-100088,2025-07-04 06:00:00,255.73,Unknown Merchant,Debit,Japan,79,Confirmed Fraud,CA-221,Critical
90,TXN-100089,2025-07-04 07:00:00,384.98,Walmart,Credit,Canada,13,Legitimate,,
91,TXN-100090,2025-07-04 07:00:00,78.80,Google Play,Debit,Canada,72,Pending Review,TP-290,Warning
92,TXN-100091,2025-07-04 07:00:00,38.18,Uber,Credit,Brazil,4,Legitimate,,
93,TXN-100092,2025-07-04 07:00:00,62.91,Spotify,Credit,United States,53,Legitimate,,
94,TXN-100093,2025-07-04 11:00:00,93.87,Target,Credit,India,47,Legitimate,,
95,TXN-100094,2025-07-04 14:00:00,145.39,Target,Credit,United States,17,Legitimate,,
96,TXN-100095,2025-07-04 14:00:00,62.86,Instacart,Credit,Nigeria,23,Legitimate,,
97,TXN-100096,2025-07-04 14:00:00,9.08,Apple Store,Prepaid,Canada,16,Legitimate,BN-102,Warning
98,TXN-100097,2025-07-04 15:00:00,203.62,Google Play,Credit,China,29,Legitimate,,
99,TXN-100098,2025-07-04 19:00:00,15.37,Unknown Merchant,Debit,United States,22,Legitimate,,
100,TXN-100099,2025-07-04 20:00:00,129.08,Walmart,Credit,United Kingdom,48,Legitimate,,
101,TXN-100100,2025-07-04 21:00:00,3992.10,Stripe Payment,Credit,United States,73,Confirmed Fraud,IP-519b,Info
102,TXN-100101,2025-07-04 21:00:00,350.99,Shell Gas,Debit,Canada,51,Legitimate,,
103,TXN-100102,2025-07-04 21:00:00,198.15,Etsy Shop,Debit,Mexico,38,Legitimate,,
104,TXN-100103,2025-07-04 22:00:00,320.57,Steam Games,Credit,United States,23,Pending Review,VD-338b,Warning
105,TXN-100104,2025-07-04 23:00:00,34.14,Etsy Shop,Debit,Australia,35,Legitimate,,
106,TXN-100105,2025-07-05 00:00:00,119.29,Etsy Shop,Credit,United States,29,Legitimate,,
107,TXN-100106,2025-07-05 01:00:00,8.14,Etsy Shop,Credit,Canada,24,Legitimate,,
108,TXN-100107,2025-07-05 01:00:00,137.37,Apple Store,Debit,Japan,3,Legitimate,,
109,TXN-100108,2025-07-05 02:00:00,473.37,Booking.com,Debit,Nigeria,57,Confirmed Fraud,VD-338b,Info
110,TXN-100109,2025-07-05 04:00:00,41.99,Etsy Shop,Credit,Mexico,39,Legitimate,,
111,TXN-100110,2025-07-05 04:00:00,19.78,Etsy Shop,Debit,Canada,16,Legitimate,CA-221,Info
112,TXN-100111,2025-07-05 05:00:00,25.70,Shopify Merchant,Debit,United States,7,Legitimate,,
113,TXN-100112,2025-07-05 05:00:00,166.92,Target,Credit,Canada,76,Pending Review,ND-504,Warning
114,TXN-100113,2025-07-05 05:00:00,1132.79,Stripe Payment,Debit,Germany,62,Confirmed Fraud,CA-221,Warning
115,TXN-100114,2025-07-05 07:00:00,25.86,Netflix,Credit,United States,6,Legitimate,,
116,TXN-100115,2025-07-05 07:00:00,231.59,Google Play,Credit,Canada,21,Legitimate,IP-519b,Warning
117,TXN-100116,2025-07-05 07:00:00,46.00,Google Play,Debit,South Korea,39,Legitimate,,
118,TXN-100117,2025-07-05 08:00:00,13.58,Google Play,Debit,India,75,Confirmed Fraud,IP-519,Critical
119,TXN-100118,2025-07-05 08:00:00,23.42,Steam Games,Credit,United Kingdom,8,Legitimate,CA-221,Info
120,TXN-100119,2025-07-05 10:00:00,128.42,AirBnB,Prepaid,Canada,34,Legitimate,,
121,TXN-100120,2025-07-05 11:00:00,3795.70,Unknown Merchant,Debit,China,80,Confirmed Fraud,CA-221,Critical
122,TXN-100121,2025-07-05 16:00:00,18.62,DoorDash,Debit,Canada,4,Legitimate,,
123,TXN-100122,2025-07-05 16:00:00,45.96,Uber,Debit,United States,26,Legitimate,,
124,TXN-100123,2025-07-05 16:00:00,75.86,Etsy Shop,Credit,India,64,Confirmed Fraud,VD-338,Warning
125,TXN-100124,2025-07-05 18:00:00,46.92,Google Play,Credit,Canada,12,Legitimate,,
126,TXN-100125,2025-07-05 19:00:00,66.04,Booking.com,Credit,United States,23,Legitimate,,
127,TXN-100126,2025-07-05 19:00:00,73.77,AirBnB,Prepaid,China,10,Legitimate,,
128,TXN-100127,2025-07-05 19:00:00,113.64,Shopify Merchant,Prepaid,Japan,13,Legitimate,,
129,TXN-100128,2025-07-06 00:00:00,8.78,Stripe Payment,Debit,Indonesia,25,Legitimate,AT-415,Critical
130,TXN-100129,2025-07-06 00:00:00,14.31,Walmart,Credit,Russia,29,Legitimate,,
131,TXN-100130,2025-07-06 01:00:00,18.91,Steam Games,Debit,United States,19,Legitimate,BN-102,Info
132,TXN-100131,2025-07-06 03:00:00,24.48,AirBnB,Debit,Canada,36,Legitimate,,
133,TXN-100132,2025-07-06 05:00:00,3.77,Google Play,Credit,United States,13,Legitimate,,
134,TXN-100133,2025-07-06 05:00:00,52.97,Stripe Payment,Credit,Canada,26,Legitimate,,
135,TXN-100134,2025-07-06 05:00:00,2002.21,DoorDash,Credit,India,75,Confirmed Fraud,ND-504b,Critical
136,TXN-100135,2025-07-06 08:00:00,27.45,Shopify Merchant,Debit,Nigeria,18,Legitimate,,
137,TXN-100136,2025-07-06 08:00:00,4.91,Apple Store,Credit,United States,30,Legitimate,,
138,TXN-100137,2025-07-06 08:00:00,5.82,Amazon,Credit,United States,9,Legitimate,,
139,TXN-100138,2025-07-06 09:00:00,9.21,PayPal Transfer,Prepaid,Mexico,25,Legitimate,,
140,TXN-100139,2025-07-06 12:00:00,56.58,PayPal Transfer,Debit,Brazil,36,Legitimate,ND-504,Warning
141,TXN-100140,2025-07-06 13:00:00,18.64,Unknown Merchant,Prepaid,Mexico,18,Legitimate,,
142,TXN-100141,2025-07-06 13:00:00,53.62,Etsy Shop,Credit,Nigeria,28,Legitimate,,
143,TXN-100142,2025-07-06 13:00:00,202.30,Etsy Shop,Credit,Nigeria,31,Legitimate,,
144,TXN-100143,2025-07-06 14:00:00,34.13,PayPal Transfer,Debit,United States,10,Legitimate,,
145,TXN-100144,2025-07-06 15:00:00,117.20,Netflix,Debit,Nigeria,39,Legitimate,,
146,TXN-100145,2025-07-06 16:00:00,20.62,Steam Games,Debit,United States,6,Legitimate,,
147,TXN-100146,2025-07-06 16:00:00,18.34,Walmart,Debit,United States,0,Legitimate,,
148,TXN-100147,2025-07-06 17:00:00,515.82,Best Buy,Credit,Nigeria,26,Legitimate,ML-660,Warning
149,TXN-100148,2025-07-06 18:00:00,265.65,Spotify,Credit,Germany,33,Legitimate,,
150,TXN-100149,2025-07-06 20:00:00,293.54,Unknown Merchant,Credit,United States,45,Legitimate,,
151,TXN-100150,2025-07-06 21:00:00,40.84,Best Buy,Debit,Brazil,36,Legitimate,IP-519b,Info
152,TXN-100151,2025-07-07 01:00:00,47.26,Google Play,Credit,United Kingdom,41,Legitimate,,
153,TXN-100152,2025-07-07 02:00:00,130.45,Amazon,Credit,United Kingdom,16,Legitimate,VD-338,Info
154,TXN-100153,2025-07-07 05:00:00,101.82,DoorDash,Debit,United Kingdom,26,Legitimate,,
155,TXN-100154,2025-07-07 06:00:00,9.95,Shopify Merchant,Prepaid,Canada,21,Legitimate,,
156,TXN-100155,2025-07-07 06:00:00,3.01,AirBnB,Credit,China,24,Legitimate,,
157,TXN-100156,2025-07-07 08:00:00,16.16,Unknown Merchant,Debit,Germany,32,Legitimate,,
158,TXN-100157,2025-07-07 08:00:00,586.02,DoorDash,Debit,United States,25,Legitimate,ML-660,Info
159,TXN-100158,2025-07-07 09:00:00,39.85,AirBnB,Debit,Nigeria,27,Legitimate,,
160,TXN-100159,2025-07-07 09:00:00,67.82,Instacart,Credit,United States,73,Confirmed Fraud,VD-338,Critical
161,TXN-100160,2025-07-07 11:00:00,3.16,Spotify,Credit,India,41,Legitimate,,
162,TXN-100161,2025-07-07 11:00:00,59.73,Spotify,Credit,United States,21,Legitimate,,
163,TXN-100162,2025-07-07 12:00:00,14.72,Apple Store,Debit,Australia,51,Legitimate,CA-221,Info
164,TXN-100163,2025-07-07 12:00:00,40.89,Shell Gas,Credit,Canada,25,Legitimate,,
165,TXN-100164,2025-07-07 14:00:00,26.46,DoorDash,Credit,Germany,32,Legitimate,,
166,TXN-100165,2025-07-07 14:00:00,100.87,Walmart,Credit,United Kingdom,10,Legitimate,,
167,TXN-100166,2025-07-07 15:00:00,15.16,Apple Store,Debit,United States,34,Legitimate,,
168,TXN-100167,2025-07-07 15:00:00,12.14,PayPal Transfer,Debit,United Kingdom,86,Pending Review,DV-812,Critical
169,TXN-100168,2025-07-07 16:00:00,12.92,Etsy Shop,Debit,United States,12,Legitimate,,
170,TXN-100169,2025-07-07 17:00:00,12.42,Google Play,Debit,United States,51,Legitimate,,
171,TXN-100170,2025-07-07 18:00:00,118.13,Spotify,Debit,Canada,24,Legitimate,,
172,TXN-100171,2025-07-07 19:00:00,130.24,DoorDash,Credit,United Kingdom,24,Pending Review,CA-221,Critical
173,TXN-100172,2025-07-07 20:00:00,53.03,Steam Games,Credit,India,22,Legitimate,,
174,TXN-100173,2025-07-07 20:00:00,8.76,Stripe Payment,Credit,Brazil,33,Legitimate,,
175,TXN-100174,2025-07-07 21:00:00,57.74,PayPal Transfer,Credit,United States,39,Legitimate,,
176,TXN-100175,2025-07-07 22:00:00,38.16,Etsy Shop,Credit,Australia,37,Legitimate,,
177,TXN-100176,2025-07-07 22:00:00,167.53,Walmart,Credit,Brazil,41,Pending Review,CA-221b,Info
178,TXN-100177,2025-07-08 01:00:00,81.39,Spotify,Credit,Brazil,50,Confirmed Fraud,CA-221b,Info
179,TXN-100178,2025-07-08 02:00:00,16.85,Target,Credit,United States,40,Legitimate,,
180,TXN-100179,2025-07-08 04:00:00,49.17,Etsy Shop,Debit,Nigeria,27,Legitimate,,
181,TXN-100180,2025-07-08 06:00:00,86.82,Uber,Credit,India,73,Confirmed Fraud,IP-519,Warning
182,TXN-100181,2025-07-08 06:00:00,141.07,Steam Games,Credit,United States,14,Legitimate,GE-773,Info
183,TXN-100182,2025-07-08 08:00:00,8561.66,Target,Credit,United States,71,Confirmed Fraud,VD-338,Warning
184,TXN-100183,2025-07-08 09:00:00,73.68,Shopify Merchant,Credit,Brazil,32,Legitimate,,
185,TXN-100184,2025-07-08 10:00:00,21.60,Uber,Credit,United States,21,Legitimate,,
186,TXN-100185,2025-07-08 10:00:00,11.95,Walmart,Prepaid,Nigeria,21,Legitimate,,
187,TXN-100186,2025-07-08 11:00:00,78.24,Uber,Prepaid,Brazil,41,Legitimate,,
188,TXN-100187,2025-07-08 11:00:00,9.71,Target,Credit,Brazil,24,Legitimate,,
189,TXN-100188,2025-07-08 11:00:00,150.74,Google Play,Debit,Brazil,58,Pending Review,AT-415,Critical
190,TXN-100189,2025-07-08 13:00:00,15.16,Target,Debit,United States,40,Legitimate,,
191,TXN-100190,2025-07-08 15:00:00,138.25,Etsy Shop,Debit,United States,23,Legitimate,,
192,TXN-100191,2025-07-08 17:00:00,49.21,Etsy Shop,Prepaid,United States,18,Legitimate,,
193,TXN-100192,2025-07-08 18:00:00,15.76,PayPal Transfer,Debit,United States,44,Legitimate,,
194,TXN-100193,2025-07-08 18:00:00,3309.53,Spotify,Debit,Russia,74,Confirmed Fraud,CA-221b,Critical
195,TXN-100194,2025-07-08 21:00:00,58.38,Booking.com,Prepaid,Canada,38,Legitimate,,
196,TXN-100195,2025-07-08 21:00:00,883.70,Etsy Shop,Credit,Nigeria,72,Confirmed Fraud,VD-338b,Info
197,TXN-100196,2025-07-09 01:00:00,151.89,Uber,Debit,South Korea,14,Legitimate,,
198,TXN-100197,2025-07-09 02:00:00,28.63,DoorDash,Credit,United States,46,Legitimate,,
199,TXN-100198,2025-07-09 03:00:00,33.10,PayPal Transfer,Credit,United Kingdom,12,Legitimate,,
200,TXN-100199,2025-07-09 06:00:00,43.18,Etsy Shop,Debit,Brazil,28,Legitimate,,
201,TXN-100200,2025-07-09 08:00:00,37.87,Best Buy,Credit,United States,12,Legitimate,,
202,TXN-100201,2025-07-09 09:00:00,14.55,Etsy Shop,Credit,Germany,30,Legitimate,,
203,TXN-100202,2025-07-09 10:00:00,143.61,Amazon,Prepaid,United Kingdom,49,Legitimate,,
204,TXN-100203,2025-07-09 11:00:00,23.97,Spotify,Credit,Brazil,16,Legitimate,,
205,TXN-100204,2025-07-09 13:00:00,30.77,Stripe Payment,Debit,Canada,7,Legitimate,,
206,TXN-100205,2025-07-09 15:00:00,25.73,DoorDash,Credit,United Kingdom,34,Legitimate,,
207,TXN-100206,2025-07-09 16:00:00,19.30,Best Buy,Credit,Canada,27,Legitimate,,
208,TXN-100207,2025-07-09 18:00:00,59.49,DoorDash,Credit,United States,30,Legitimate,,
209,TXN-100208,2025-07-09 18:00:00,7.78,Shopify Merchant,Credit,United Kingdom,6,Legitimate,,
210,TXN-100209,2025-07-09 19:00:00,26.64,Walmart,Debit,Canada,28,Legitimate,,
211,TXN-100210,2025-07-09 19:00:00,149.25,Best Buy,Credit,France,30,Legitimate,,
212,TXN-100211,2025-07-09 20:00:00,80.15,Booking.com,Credit,Russia,19,Legitimate,,
213,TXN-100212,2025-07-09 21:00:00,67.06,AirBnB,Debit,United Kingdom,35,Legitimate,,
214,TXN-100213,2025-07-09 23:00:00,178.07,Walmart,Prepaid,United States,34,Legitimate,,
215,TXN-100214,2025-07-09 23:00:00,30.87,AirBnB,Debit,Brazil,12,Legitimate,,
216,TXN-100215,2025-07-09 23:00:00,46.00,DoorDash,Credit,Brazil,44,Legitimate,CR-145,Warning
217,TXN-100216,2025-07-09 23:00:00,45.82,Uber,Credit,Brazil,26,Legitimate,,
218,TXN-100217,2025-07-10 01:00:00,32.86,Google Play,Credit,United States,28,Legitimate,,
219,TXN-100218,2025-07-10 02:00:00,149.75,Steam Games,Debit,Canada,3,Legitimate,,
220,TXN-100219,2025-07-10 02:00:00,109.55,Etsy Shop,Prepaid,Russia,74,Confirmed Fraud,IP-519b,Critical
221,TXN-100220,2025-07-10 03:00:00,51.06,Booking.com,Credit,United States,14,Legitimate,,
222,TXN-100221,2025-07-10 04:00:00,139.84,Uber,Debit,Canada,45,Pending Review,TP-290,Info
223,TXN-100222,2025-07-10 04:00:00,193.28,Steam Games,Credit,Mexico,41,Confirmed Fraud,IP-519b,Info
224,TXN-100223,2025-07-10 06:00:00,8.16,Best Buy,Credit,Nigeria,18,Legitimate,,
225,TXN-100224,2025-07-10 08:00:00,69.41,Amazon,Credit,United States,17,Legitimate,,
226,TXN-100225,2025-07-10 08:00:00,137.26,Walmart,Credit,Australia,44,Legitimate,,
227,TXN-100226,2025-07-10 10:00:00,85.64,Amazon,Credit,Brazil,23,Legitimate,,
228,TXN-100227,2025-07-10 14:00:00,109.72,AirBnB,Debit,United States,21,Legitimate,,
229,TXN-100228,2025-07-10 15:00:00,20.05,Google Play,Credit,United States,80,Pending Review,CA-221,Warning
230,TXN-100229,2025-07-10 16:00:00,62.97,Target,Credit,China,31,Legitimate,,
231,TXN-100230,2025-07-10 18:00:00,17.39,Uber,Credit,United States,29,Legitimate,TP-290,Info
232,TXN-100231,2025-07-10 19:00:00,40.86,Stripe Payment,Credit,Germany,46,Legitimate,TP-290,Info
233,TXN-100232,2025-07-10 20:00:00,11.49,Google Play,Credit,South Korea,20,Legitimate,,
234,TXN-100233,2025-07-10 20:00:00,1111.16,Walmart,Debit,Russia,62,Confirmed Fraud,CA-221b,Warning
235,TXN-100234,2025-07-10 21:00:00,28.44,Target,Credit,Canada,0,Legitimate,,
236,TXN-100235,2025-07-10 21:00:00,64.85,Steam Games,Credit,Germany,32,Legitimate,TP-290,Info
237,TXN-100236,2025-07-10 21:00:00,44.54,Google Play,Credit,United States,7,Legitimate,,
238,TXN-100237,2025-07-10 21:00:00,18.61,Unknown Merchant,Credit,United States,25,Legitimate,,
239,TXN-100238,2025-07-10 23:00:00,40.33,Amazon,Credit,Brazil,67,Confirmed Fraud,ND-504,Critical
240,TXN-100239,2025-07-11 00:00:00,25.25,Google Play,Debit,Australia,33,Legitimate,,
241,TXN-100240,2025-07-11 00:00:00,6384.09,DoorDash,Debit,Russia,77,Confirmed Fraud,ND-504b,Warning
242,TXN-100241,2025-07-11 01:00:00,25.04,Spotify,Credit,United States,41,Legitimate,,
243,TXN-100242,2025-07-11 01:00:00,2621.00,Walmart,Debit,United Kingdom,74,Confirmed Fraud,ND-504b,Critical
244,TXN-100243,2025-07-11 02:00:00,253.65,AirBnB,Credit,France,27,Legitimate,ML-660,Info
245,TXN-100244,2025-07-11 08:00:00,38.21,Instacart,Prepaid,United Kingdom,64,Confirmed Fraud,VD-338,Critical
246,TXN-100245,2025-07-11 10:00:00,866.98,Steam Games,Credit,Nigeria,23,Legitimate,,
247,TXN-100246,2025-07-11 11:00:00,46.43,Uber,Credit,United Kingdom,26,Legitimate,,
248,TXN-100247,2025-07-11 12:00:00,133.09,Apple Store,Debit,United States,23,Legitimate,,
249,TXN-100248,2025-07-11 12:00:00,13.12,DoorDash,Credit,France,3,Legitimate,,
250,TXN-100249,2025-07-11 13:00:00,14.71,Shopify Merchant,Credit,United States,100,Confirmed Fraud,ND-504,Warning
251,TXN-100250,2025-07-11 14:00:00,8.73,Booking.com,Debit,Canada,16,Legitimate,,
252,TXN-100251,2025-07-11 14:00:00,195.69,Etsy Shop,Credit,Mexico,45,Legitimate,,
253,TXN-100252,2025-07-11 15:00:00,61.79,Steam Games,Credit,India,20,Legitimate,,
254,TXN-100253,2025-07-11 15:00:00,96.71,DoorDash,Credit,India,0,Legitimate,,
255,TXN-100254,2025-07-11 15:00:00,64.99,Netflix,Debit,United States,23,Legitimate,,
256,TXN-100255,2025-07-11 16:00:00,28.00,Booking.com,Credit,Nigeria,30,Legitimate,,
257,TXN-100256,2025-07-11 17:00:00,5.50,Booking.com,Credit,India,28,Legitimate,,
258,TXN-100257,2025-07-11 18:00:00,200.49,Netflix,Credit,United States,37,Legitimate,,
259,TXN-100258,2025-07-11 19:00:00,248.76,Netflix,Credit,United States,77,Pending Review,ML-660,Warning
260,TXN-100259,2025-07-11 19:00:00,64.24,Walmart,Debit,Nigeria,44,Legitimate,,
261,TXN-100260,2025-07-11 19:00:00,41.61,Unknown Merchant,Credit,United States,24,Legitimate,,
